FIRM,ESTAB,EMP,FIRMDEATH_FIRMS,ESTABS_ENTRY,ESTABS_EXIT,JOB_CREATION,JOB_DESTRUCTION,NET_JOB_CREATION,YEAR,us
3560318,4327552,70255157,326436,642576,472488,14243986,9071844,5172142,1978,1
3692635,4486597,74714428,330913,616415,467871,13690518,9418503,4272015,1979,1
3739767,4551584,75065997,369565,578750,514594,11777171,11375697,401474,1980,1
3768498,4611616,75788714,377392,586119,523076,12133261,11385235,748026,1981,1
3741859,4617059,74973839,406493,575231,571371,11842874,12547526,-704652,1982,1
3830757,4712899,74041185,363000,624610,529238,12171587,13106655,-935068,1983,1
4001390,4904516,78673113,364750,699054,509404,14767652,9971582,4796070,1984,1
4073155,4986221,81575122,431677,682923,600922,14898854,12019412,2879442,1985,1
4158219,5112726,83920060,414722,711630,583812,15211590,12732769,2478821,1986,1
4223952,5224469,85886119,436466,740398,628497,16316921,14638328,1678593,1987,1
4308236,5359338,88402522,425403,739207,611798,16380732,13996733,2383999,1988,1
4382013,5472761,91353052,429504,724158,612863,16267263,13365740,2901523,1989,1
4445528,5571136,93686600,433898,700386,602953,15492584,13329946,2162638,1990,1
4412581,5606034,91458374,453798,690270,649044,13971947,16221727,-2249780,1991,1
4413841,5615601,91438756,415356,649245,634004,14667236,14634570,32666,1992,1
4495611,5682239,93102312,386357,650095,582828,14916783,13295008,1621775,1993,1
4575281,5791522,95649868,398875,682277,580764,15282839,13066603,2216236,1994,1
4674006,5921847,99016306,398645,706163,574782,16025382,12548263,3477119,1995,1
4721540,5999687,100042597,416575,701638,599323,15731728,13927402,1804326,1996,1
4776424,6075685,103096440,434203,736712,662303,18177711,15441412,2736299,1997,1
4853548,6188011,107689077,400489,702626,612252,17965285,14618675,3346610,1998,1
4883018,6246393,109812340,408681,691108,633670,17671216,15695076,1976140,1999,1
4902719,6301553,113593164,405016,680795,628911,18670431,15222898,3447533,2000,1
4912908,6332929,113773080,408243,694163,661488,17759146,17530454,228692,2001,1
4929332,6392616,111799219,424299,758902,716891,18530541,21255078,-2724537,2002,1
4991927,6459031,112460517,416561,734050,665362,17675453,17018427,657026,2003,1
5084924,6566688,114138584,414338,749769,643022,17238480,15724589,1513891,2004,1
5166062,6675386,115422186,430425,769042,660788,16999246,15776014,1223232,2005,1
5254916,6838713,119253652,460485,844274,680600,18696108,15038746,3657362,2006,1
5291526,6917207,119771704,467189,808797,727812,18279893,17827286,452607,2007,1
5230315,6873725,119550548,495527,710589,751123,16947369,17113323,-165954,2008,1
5088072,6737900,113657795,511115,632741,792347,13379213,19581583,-6202370,2009,1
5016353,6669509,111274422,440076,636620,706793,13405335,15806521,-2401186,2010,1
4993099,6665520,112845202,420190,659127,662584,14728387,13166794,1561593,2011,1
5039673,6710572,115314012,379599,669983,624069,15737253,13273198,2464055,2012,1
5064208,6749685,117558012,384319,659947,619457,15523699,13326468,2197231,2013,1
5100719,6822436,120072493,381685,672292,600814,15584293,13028978,2555315,2014,1
5146908,6906444,123177478,382811,688197,604856,16280640,13180610,3100030,2015,1
5212130,7032104,125689404,384550,710442,584936,16031854,13534480,2497374,2016,1
5246978,7073622,127427446,392222,682347,640236,17103320,15109727,1993593,2017,1
5281916,7100785,129626237,394215,666736,630485,16443509,14325324,2118185,2018,1
5330349,7177066,131831587,404886,686264,609392,15804059,13523236,2280823,2019,1
5335214,7201053,132680862,416962,692739,667817,15816694,14980733,835961,2020,1
5391471,7253521,127222136,421453,783793,730639,15069167,20587364,-5518197,2021,1
5541603,7408649,134143137,450039,854030,697225,21652177,14567755,7084422,2022,1
5593727,7494983,137462444,523958,790295,699980,18450927,15011588,3439339,2023,1
